return period,Depth (mm)
2,27.605283057999998
5,55.32142599400001
10,105.51387154296701
25,137.54524227715635
50,168.0902816922891
100,205.4185396137516
200,251.03638349713168
500,327.2447469092574
1000,399.9275027136369
2000,488.74047167819447
5000,639.0983250300004
10000,685.113454786
