step_min,2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr,2000yr,5000yr,10000yr,PMP
290,0.0,0.0,0.0,0.69,2.58,5.66,10.17,18.93,28.25,51.63,77.29,85.27,362.57
295,0.0,0.0,0.0,0.84,2.85,6.04,10.68,19.65,29.14,52.78,78.72,86.77,363.14
300,0.0,0.0,0.0,1.0,3.12,6.43,11.2,20.36,30.03,53.93,80.14,88.27,363.69
305,0.0,0.0,0.0,1.18,3.4,6.82,11.71,21.07,30.92,55.08,81.56,89.76,364.19
310,0.0,0.0,0.0,1.36,3.68,7.21,12.22,21.78,31.8,56.24,82.99,91.27,364.61
315,0.0,0.0,0.0,1.55,3.97,7.6,12.74,22.49,32.68,57.41,84.45,92.81,365.25
320,0.0,0.0,0.0,1.74,4.26,8.0,13.27,23.22,33.57,58.61,85.94,94.38,366.49
325,0.0,0.0,0.0,1.95,4.56,8.41,13.8,23.95,34.48,59.81,87.43,95.95,368.5
330,0.0,0.0,0.0,2.16,4.87,8.82,14.34,24.69,35.39,61.01,88.92,97.52,371.53
335,0.0,0.0,0.0,2.37,5.18,9.24,14.88,25.42,36.29,62.21,90.42,99.1,376.02
340,0.0,0.0,0.0,2.59,5.49,9.65,15.42,26.16,37.2,63.42,91.93,100.7,382.01
345,0.0,0.0,0.0,2.82,5.8,10.07,15.96,26.89,38.1,64.63,93.44,102.29,389.04
350,0.0,0.0,0.0,3.04,6.12,10.49,16.5,27.62,39.0,65.82,94.92,103.86,396.67
355,0.0,0.0,0.0,3.27,6.44,10.91,17.05,28.36,39.9,67.01,96.39,105.41,404.48
360,0.0,0.0,0.0,3.51,6.76,11.35,17.61,29.11,40.82,68.2,97.87,106.97,412.26
365,0.0,0.0,0.0,3.75,7.1,11.79,18.18,29.88,41.76,69.37,99.33,108.51,419.55
370,0.0,0.0,0.0,4.0,7.44,12.24,18.76,30.66,42.72,70.56,100.8,110.06,426.26
375,0.0,0.0,0.0,4.26,7.79,12.7,19.35,31.46,43.7,71.76,102.29,111.64,432.33
380,0.0,0.0,0.0,4.52,8.14,13.17,19.95,32.27,44.7,72.98,103.82,113.26,437.54
385,0.0,0.0,0.0,4.78,8.5,13.65,20.57,33.11,45.72,74.22,105.36,114.88,441.78
390,0.0,0.0,0.0,5.06,8.88,14.14,21.2,33.96,46.77,75.47,106.92,116.54,445.32
395,0.0,0.0,0.0,5.34,9.25,14.63,21.84,34.82,47.83,76.73,108.5,118.21,448.31
400,0.0,0.0,0.0,5.62,9.63,15.13,22.47,35.67,48.87,77.98,110.06,119.87,450.77
405,0.0,0.0,0.0,5.9,10.01,15.63,23.11,36.53,49.92,79.24,111.64,121.53,452.85
410,0.0,0.0,0.0,6.19,10.41,16.15,23.77,37.41,51.0,80.53,113.26,123.25,454.65
415,0.0,0.0,0.0,6.49,10.81,16.67,24.44,38.31,52.1,81.86,114.93,125.02,456.18
420,0.0,0.0,0.0,6.8,11.22,17.2,25.11,39.21,53.21,83.22,116.63,126.83,457.41
425,0.0,0.0,0.0,7.11,11.64,17.75,25.81,40.14,54.35,84.61,118.39,128.7,458.44
430,0.0,0.0,0.0,7.43,12.07,18.31,26.52,41.1,55.53,86.05,120.21,130.63,459.37
435,0.0,0.0,0.0,7.76,12.5,18.87,27.25,42.06,56.7,87.52,122.08,132.62,460.14
440,0.0,0.0,0.0,8.09,12.94,19.45,27.97,43.04,57.89,89.03,124.0,134.66,460.78
445,0.0,0.0,0.0,8.43,13.39,20.03,28.72,44.03,59.11,90.58,125.98,136.76,461.36
450,0.0,0.0,0.0,8.78,13.86,20.64,29.48,45.05,60.36,92.16,127.98,138.9,461.91
455,0.0,0.0,0.0,9.13,14.33,21.25,30.26,46.09,61.63,93.74,130.0,141.04,462.38
460,0.0,0.0,0.0,9.5,14.82,21.88,31.06,47.16,62.94,95.33,132.03,143.2,462.8
465,0.0,0.0,0.0,9.88,15.32,22.53,31.89,48.26,64.29,96.94,134.08,145.38,463.24
470,0.0,0.0,0.0,10.27,15.84,23.2,32.74,49.4,65.69,98.58,136.17,147.61,463.65
475,0.0,0.0,0.0,10.67,16.37,23.89,33.61,50.56,67.1,100.26,138.31,149.89,464.3
480,0.0,0.0,0.0,11.08,16.91,24.59,34.5,51.74,68.55,101.99,140.53,152.25,465.55
485,0.0,0.0,0.0,11.5,17.47,25.31,35.4,52.95,70.04,103.78,142.82,154.7,467.54
490,0.0,0.0,0.0,11.94,18.04,26.04,36.34,54.19,71.57,105.62,145.17,157.21,470.55
495,0.0,0.0,0.0,12.38,18.63,26.8,37.29,55.47,73.13,107.49,147.57,159.76,474.99
500,0.0,0.0,0.0,12.84,19.24,27.58,38.28,56.78,74.74,109.41,150.04,162.4,480.94
505,0.0,0.0,0.0,13.32,19.87,28.39,39.3,58.14,76.4,111.38,152.58,165.11,487.95
510,0.0,0.0,0.0,13.81,20.51,29.22,40.35,59.54,78.13,113.42,155.2,167.9,495.52
515,0.0,0.0,0.0,14.32,21.18,30.08,41.44,60.99,79.9,115.52,157.91,170.8,503.21
520,0.0,0.0,0.0,14.85,21.88,30.98,42.57,62.49,81.75,117.71,160.73,173.82,510.88
525,0.0,0.0,0.0,15.4,22.6,31.91,43.74,64.06,83.68,119.95,163.62,176.9,518.04
530,0.0,0.0,0.0,15.98,23.36,32.87,44.96,65.69,85.68,122.24,166.58,180.06,524.57
535,0.0,0.0,0.0,16.57,24.13,33.87,46.23,67.37,87.75,124.6,169.63,183.32,530.44
540,0.0,0.0,0.0,17.19,24.94,34.91,47.54,69.12,89.9,127.08,172.84,186.75,535.45
545,0.0,0.0,0.0,17.83,25.78,35.99,48.89,70.93,92.12,129.66,176.19,190.33,539.48
550,0.0,0.0,0.0,18.5,26.66,37.11,50.3,72.81,94.44,132.35,179.68,194.07,542.82
555,0.0,0.0,0.0,19.2,27.57,38.28,51.79,74.79,96.88,135.17,183.33,197.97,545.97
560,0.0,0.0,0.0,19.94,28.54,39.52,53.35,76.88,99.45,138.12,187.17,202.08,549.31
565,0.0,0.0,0.0,20.72,29.56,40.83,55.0,79.08,102.16,141.18,191.15,206.34,553.1
570,0.0,0.0,0.0,21.54,30.63,42.2,56.73,81.39,105.02,144.38,195.31,210.79,557.73
575,0.0,0.0,0.0,22.4,31.75,43.63,58.54,83.81,108.0,147.72,199.66,215.45,563.54
580,0.0,0.0,0.01,23.3,32.93,45.14,60.44,86.35,111.13,151.22,204.23,220.34,570.53
585,0.0,0.0,0.03,24.25,34.17,46.72,62.44,89.02,114.42,154.87,208.99,225.45,578.38
590,0.0,0.0,0.08,25.26,35.48,48.4,64.55,91.84,117.91,158.71,214.0,230.8,586.74
595,0.0,0.0,0.16,26.32,36.86,50.17,66.78,94.82,121.59,162.7,219.21,236.39,595.39
600,0.0,0.0,0.28,27.45,38.33,52.04,69.14,97.98,125.49,166.88,224.67,242.23,604.4
605,0.0,0.0,0.46,28.64,39.88,54.02,71.63,101.31,129.6,171.25,230.37,248.34,613.61
610,0.0,0.0,0.71,29.91,41.53,56.13,74.29,104.85,133.98,175.89,236.44,254.85,623.33
615,0.0,0.0,1.03,31.27,43.29,58.37,77.11,108.62,138.63,180.84,242.91,261.78,634.02
620,0.0,0.0,1.41,32.73,45.18,60.78,80.14,112.67,143.63,186.13,249.83,269.2,645.85
625,0.0,0.0,1.87,34.3,47.21,63.37,83.41,117.03,149.03,191.78,257.23,277.13,658.61
630,0.0,0.0,2.41,36.01,49.43,66.2,86.96,121.79,154.9,197.85,265.18,285.66,672.43
635,0.0,0.0,3.03,37.87,51.84,69.27,90.83,126.96,161.3,204.34,273.69,294.78,687.59
640,0.0,0.01,3.74,39.91,54.49,72.64,95.08,132.64,168.32,211.35,282.89,304.64,704.37
645,0.0,0.03,4.55,42.16,57.39,76.33,99.72,138.85,176.0,218.92,292.82,315.3,722.26
650,0.0,0.08,5.47,44.63,60.58,80.4,104.84,145.7,184.47,227.16,303.63,326.89,741.06
655,0.0,0.16,6.51,47.36,64.12,84.9,110.5,153.26,193.83,236.13,315.4,339.51,760.79
660,0.0,0.28,7.68,50.43,68.07,89.92,116.82,161.71,204.28,245.96,328.32,353.37,781.48
665,0.0,0.48,8.99,53.86,72.5,95.55,123.89,171.17,215.98,256.73,342.46,368.54,802.88
670,0.0,0.74,10.46,57.75,77.51,101.92,131.9,181.86,229.22,268.62,358.08,385.3,825.66
675,0.0,1.1,12.1,62.22,83.26,109.22,141.06,194.11,244.37,281.85,375.47,403.96,850.8
680,0.0,1.56,13.94,67.44,89.97,117.73,151.75,208.37,262.01,296.81,395.13,425.06,879.46
685,0.0,2.14,16.03,73.62,97.91,127.79,164.37,225.23,282.85,313.82,417.5,449.05,912.64
690,0.0,2.89,18.47,81.08,107.47,139.89,179.55,245.48,307.9,333.41,443.26,476.69,951.74
695,0.03,4.09,22.07,90.43,119.44,155.03,198.51,270.77,339.16,356.36,473.43,509.07,998.31
