No,ID,Duration,Year,AMS_after_mm,AMS_before_mm,gap_filled
13,FL455969AF,12h,1994,19.6,13.5,*
13,FL455969AF,12h,1995,25.5,18.0,*
13,FL455969AF,12h,1996,81.0,81.0,
13,FL455969AF,12h,1997,33.0,33.0,
13,FL455969AF,12h,1998,30.0,30.0,
13,FL455969AF,12h,1999,28.2,21.0,*
13,FL455969AF,12h,2000,20.0,20.0,
13,FL455969AF,12h,2001,30.5,18.0,*
13,FL455969AF,12h,2002,35.0,35.0,
13,FL455969AF,12h,2003,20.0,20.0,
13,FL455969AF,12h,2004,9.2,3.0,*
13,FL455969AF,12h,2005,61.9,8.9,*
13,FL455969AF,12h,2006,17.0,15.5,*
13,FL455969AF,12h,2007,68.9,,Y
13,FL455969AF,12h,2008,14.2,,Y
13,FL455969AF,12h,2009,10.8,,Y
13,FL455969AF,12h,2010,90.6,,Y
13,FL455969AF,12h,2011,40.6,,Y
13,FL455969AF,12h,2012,35.8,,Y
13,FL455969AF,12h,2013,28.2,,Y
13,FL455969AF,12h,2014,37.8,,Y
13,FL455969AF,12h,2015,12.9,,Y
13,FL455969AF,12h,2016,31.4,,Y
13,FL455969AF,12h,2017,15.4,9.9,*
13,FL455969AF,12h,2019,21.3,21.3,
13,FL455969AF,12h,2020,59.9,59.9,
13,FL455969AF,24h,1978,20.0,20.0,
13,FL455969AF,24h,1979,7.0,7.0,
13,FL455969AF,24h,1980,18.0,18.0,
13,FL455969AF,24h,1981,72.0,72.0,
13,FL455969AF,24h,1982,99.0,99.0,
13,FL455969AF,24h,1983,42.0,42.0,
13,FL455969AF,24h,1984,6.0,6.0,
13,FL455969AF,24h,1985,16.0,16.0,
13,FL455969AF,24h,1986,30.0,30.0,
13,FL455969AF,24h,1987,69.0,69.0,
13,FL455969AF,24h,1988,27.0,27.0,
13,FL455969AF,24h,1989,18.0,18.0,
13,FL455969AF,24h,1990,43.0,43.0,
13,FL455969AF,24h,1991,16.0,16.0,
13,FL455969AF,24h,1992,66.0,66.0,
13,FL455969AF,24h,1993,48.0,48.0,
13,FL455969AF,24h,1994,29.9,27.0,*
13,FL455969AF,24h,1995,36.0,36.0,
13,FL455969AF,24h,1996,162.0,162.0,
13,FL455969AF,24h,1997,66.0,66.0,
13,FL455969AF,24h,1998,60.0,60.0,
13,FL455969AF,24h,1999,42.0,42.0,
13,FL455969AF,24h,2000,40.0,40.0,
13,FL455969AF,24h,2001,36.0,36.0,
13,FL455969AF,24h,2002,70.0,70.0,
13,FL455969AF,24h,2003,40.0,40.0,
13,FL455969AF,24h,2004,17.1,6.0,*
13,FL455969AF,24h,2005,80.2,9.0,*
13,FL455969AF,24h,2006,31.0,31.0,
13,FL455969AF,24h,2007,74.4,,Y
13,FL455969AF,24h,2008,14.5,,Y
13,FL455969AF,24h,2009,18.3,,Y
13,FL455969AF,24h,2010,93.1,,Y
13,FL455969AF,24h,2011,41.1,,Y
13,FL455969AF,24h,2012,39.4,,Y
13,FL455969AF,24h,2013,34.7,,Y
13,FL455969AF,24h,2014,50.3,,Y
13,FL455969AF,24h,2015,14.6,,Y
13,FL455969AF,24h,2016,46.4,,Y
13,FL455969AF,24h,2017,15.6,10.0,*
13,FL455969AF,24h,2019,26.3,26.3,
13,FL455969AF,24h,2020,60.2,60.2,
14,FL358553BF,5min,1993,2.1,,Y
14,FL358553BF,5min,1994,4.4,,Y
14,FL358553BF,5min,1995,1.8,,Y
14,FL358553BF,5min,1996,1.2,,Y
14,FL358553BF,5min,1997,1.7,,Y
14,FL358553BF,5min,1998,4.0,,Y
14,FL358553BF,5min,1999,4.7,,Y
14,FL358553BF,5min,2000,3.0,3.0,
14,FL358553BF,5min,2001,3.2,,Y
14,FL358553BF,5min,2002,2.7,,Y
14,FL358553BF,5min,2003,2.3,,Y
14,FL358553BF,5min,2004,1.3,,Y
14,FL358553BF,5min,2005,7.0,7.0,
14,FL358553BF,5min,2006,5.6,3.0,*
14,FL358553BF,5min,2007,3.0,,Y
14,FL358553BF,5min,2008,3.2,,Y
14,FL358553BF,5min,2009,3.4,3.4,
14,FL358553BF,5min,2010,7.1,4.8,*
14,FL358553BF,5min,2011,15.0,7.2,*
14,FL358553BF,5min,2012,5.6,5.6,
14,FL358553BF,5min,2013,7.2,7.2,
14,FL358553BF,5min,2014,3.3,,Y
14,FL358553BF,5min,2015,3.1,,Y
14,FL358553BF,5min,2016,7.5,,Y
14,FL358553BF,5min,2017,3.6,3.6,
14,FL358553BF,5min,2018,5.8,5.8,
14,FL358553BF,5min,2019,5.7,5.7,
14,FL358553BF,5min,2020,4.0,2.4,*
14,FL358553BF,5min,2021,3.2,,Y
14,FL358553BF,5min,2022,2.8,2.8,
14,FL358553BF,10min,1993,3.5,,Y
14,FL358553BF,10min,1994,8.8,,Y
14,FL358553BF,10min,1995,3.0,,Y
14,FL358553BF,10min,1996,2.1,,Y
14,FL358553BF,10min,1997,3.3,,Y
14,FL358553BF,10min,1998,6.7,,Y
14,FL358553BF,10min,1999,7.4,,Y
14,FL358553BF,10min,2000,5.6,5.6,
14,FL358553BF,10min,2001,6.0,,Y
14,FL358553BF,10min,2002,4.2,,Y
14,FL358553BF,10min,2003,3.8,,Y
14,FL358553BF,10min,2004,2.3,,Y
14,FL358553BF,10min,2005,13.2,13.2,
14,FL358553BF,10min,2006,9.4,4.6,*
14,FL358553BF,10min,2007,4.4,,Y
14,FL358553BF,10min,2008,5.9,,Y
14,FL358553BF,10min,2009,6.5,6.5,
14,FL358553BF,10min,2010,11.5,6.0,*
14,FL358553BF,10min,2011,23.6,9.8,*
14,FL358553BF,10min,2012,10.0,10.0,
14,FL358553BF,10min,2013,13.2,13.2,
14,FL358553BF,10min,2014,5.4,,Y
14,FL358553BF,10min,2015,5.2,,Y
14,FL358553BF,10min,2016,11.1,,Y
14,FL358553BF,10min,2017,7.0,7.0,
14,FL358553BF,10min,2018,10.0,10.0,
14,FL358553BF,10min,2019,8.8,8.8,
14,FL358553BF,10min,2020,6.8,4.0,*
14,FL358553BF,10min,2021,5.3,,Y
14,FL358553BF,10min,2022,3.4,3.4,
14,FL358553BF,15min,1990,0.5,0.5,
14,FL358553BF,15min,1992,0.6,0.6,
14,FL358553BF,15min,1993,4.5,,Y
14,FL358553BF,15min,1994,13.2,,Y
14,FL358553BF,15min,1995,4.2,,Y
14,FL358553BF,15min,1996,2.8,,Y
14,FL358553BF,15min,1997,4.4,0.6,*
14,FL358553BF,15min,1998,9.9,,Y
14,FL358553BF,15min,1999,9.6,,Y
14,FL358553BF,15min,2000,6.6,6.6,
14,FL358553BF,15min,2001,7.8,0.6,*
14,FL358553BF,15min,2002,6.3,,Y
14,FL358553BF,15min,2003,5.5,0.6,*
14,FL358553BF,15min,2004,3.0,,Y
14,FL358553BF,15min,2005,17.4,17.4,
14,FL358553BF,15min,2006,12.5,5.8,*
14,FL358553BF,15min,2007,7.2,,Y
14,FL358553BF,15min,2008,6.9,,Y
14,FL358553BF,15min,2009,7.7,7.7,
14,FL358553BF,15min,2010,16.5,6.8,*
14,FL358553BF,15min,2011,25.3,11.2,*
14,FL358553BF,15min,2012,13.6,13.6,
14,FL358553BF,15min,2013,17.2,17.2,
14,FL358553BF,15min,2014,6.9,,Y
14,FL358553BF,15min,2015,6.5,,Y
14,FL358553BF,15min,2016,15.8,,Y
14,FL358553BF,15min,2017,8.2,8.2,
14,FL358553BF,15min,2018,14.0,14.0,
14,FL358553BF,15min,2019,10.4,10.4,
14,FL358553BF,15min,2020,9.5,5.0,*
14,FL358553BF,15min,2021,6.9,,Y
14,FL358553BF,15min,2022,4.2,4.2,
14,FL358553BF,30min,1986,0.5,0.5,
14,FL358553BF,30min,1987,0.6,0.6,
14,FL358553BF,30min,1988,0.6,0.6,
14,FL358553BF,30min,1990,1.0,1.0,
14,FL358553BF,30min,1992,1.2,1.2,
14,FL358553BF,30min,1993,8.7,0.9,*
14,FL358553BF,30min,1994,13.5,0.5,*
14,FL358553BF,30min,1995,7.6,,Y
14,FL358553BF,30min,1996,3.8,0.8,*
14,FL358553BF,30min,1997,7.2,1.2,*
14,FL358553BF,30min,1998,14.8,,Y
14,FL358553BF,30min,1999,16.3,,Y
14,FL358553BF,30min,2000,9.2,7.5,*
14,FL358553BF,30min,2001,13.4,1.2,*
14,FL358553BF,30min,2002,8.0,0.8,*
14,FL358553BF,30min,2003,8.9,1.1,*
14,FL358553BF,30min,2004,4.3,0.6,*
14,FL358553BF,30min,2005,25.2,25.2,
14,FL358553BF,30min,2006,13.0,10.0,*
14,FL358553BF,30min,2007,12.1,,Y
14,FL358553BF,30min,2008,7.9,,Y
14,FL358553BF,30min,2009,10.3,10.3,
14,FL358553BF,30min,2010,22.5,9.2,*
14,FL358553BF,30min,2011,38.6,12.2,*
14,FL358553BF,30min,2012,21.6,21.6,
14,FL358553BF,30min,2013,23.2,23.2,
14,FL358553BF,30min,2014,11.4,,Y
14,FL358553BF,30min,2015,7.5,,Y
14,FL358553BF,30min,2016,24.6,,Y
14,FL358553BF,30min,2017,15.6,15.6,
14,FL358553BF,30min,2018,19.0,19.0,
14,FL358553BF,30min,2019,15.4,15.4,
14,FL358553BF,30min,2020,16.4,6.0,*
14,FL358553BF,30min,2021,10.0,,Y
14,FL358553BF,30min,2022,5.8,5.8,
14,FL358553BF,1h,1984,0.7,0.7,
14,FL358553BF,1h,1986,1.0,1.0,
14,FL358553BF,1h,1987,1.2,1.2,
14,FL358553BF,1h,1988,1.2,1.2,
14,FL358553BF,1h,1990,2.1,2.1,
14,FL358553BF,1h,1992,2.5,2.5,
14,FL358553BF,1h,1993,13.2,1.9,*
14,FL358553BF,1h,1994,16.1,1.0,*
14,FL358553BF,1h,1995,9.6,0.8,*
14,FL358553BF,1h,1996,4.8,1.6,*
14,FL358553BF,1h,1997,10.8,2.4,*
14,FL358553BF,1h,1998,16.4,0.7,*
14,FL358553BF,1h,1999,24.0,0.8,*
14,FL358553BF,1h,2000,11.5,11.5,
14,FL358553BF,1h,2001,19.8,2.3,*
14,FL358553BF,1h,2002,8.4,1.6,*
14,FL358553BF,1h,2003,11.7,2.3,*
14,FL358553BF,1h,2004,5.5,1.2,*
14,FL358553BF,1h,2005,31.0,31.0,
14,FL358553BF,1h,2006,15.2,10.7,*
14,FL358553BF,1h,2007,19.4,,Y
14,FL358553BF,1h,2008,10.7,,Y
14,FL358553BF,1h,2009,10.6,10.6,
14,FL358553BF,1h,2010,37.3,13.0,*
14,FL358553BF,1h,2011,42.4,12.2,*
14,FL358553BF,1h,2012,32.2,32.2,
14,FL358553BF,1h,2013,23.7,23.7,
14,FL358553BF,1h,2014,17.4,,Y
14,FL358553BF,1h,2015,7.5,,Y
14,FL358553BF,1h,2016,32.2,,Y
14,FL358553BF,1h,2017,16.5,16.5,
14,FL358553BF,1h,2018,19.2,19.2,
14,FL358553BF,1h,2019,17.7,17.7,
14,FL358553BF,1h,2020,23.9,6.7,*
14,FL358553BF,1h,2021,11.0,,Y
14,FL358553BF,1h,2022,8.4,8.4,
14,FL358553BF,2h,1984,1.4,1.4,
14,FL358553BF,2h,1985,0.8,0.8,
14,FL358553BF,2h,1986,2.0,2.0,
14,FL358553BF,2h,1987,2.5,2.5,
14,FL358553BF,2h,1988,2.5,2.5,
14,FL358553BF,2h,1989,0.8,0.8,
14,FL358553BF,2h,1990,4.2,4.2,
14,FL358553BF,2h,1991,0.8,0.8,
14,FL358553BF,2h,1992,5.0,5.0,
14,FL358553BF,2h,1993,13.4,3.8,*
14,FL358553BF,2h,1994,16.5,2.1,*
14,FL358553BF,2h,1995,11.0,1.7,*
14,FL358553BF,2h,1996,9.3,3.2,*
14,FL358553BF,2h,1997,13.0,4.8,*
14,FL358553BF,2h,1998,16.7,1.3,*
14,FL358553BF,2h,1999,26.5,1.7,*
14,FL358553BF,2h,2000,13.0,13.0,
14,FL358553BF,2h,2001,22.9,4.7,*
14,FL358553BF,2h,2002,8.5,3.3,*
14,FL358553BF,2h,2003,13.2,4.6,*
14,FL358553BF,2h,2004,5.5,2.3,*
14,FL358553BF,2h,2005,44.0,44.0,
14,FL358553BF,2h,2006,16.0,10.8,*
14,FL358553BF,2h,2007,32.2,,Y
14,FL358553BF,2h,2008,12.2,,Y
14,FL358553BF,2h,2009,10.6,10.6,
14,FL358553BF,2h,2010,43.6,15.8,*
14,FL358553BF,2h,2011,44.1,12.2,*
14,FL358553BF,2h,2012,32.4,32.4,
14,FL358553BF,2h,2013,32.5,32.5,
14,FL358553BF,2h,2014,25.5,,Y
14,FL358553BF,2h,2015,7.8,,Y
14,FL358553BF,2h,2016,33.1,,Y
14,FL358553BF,2h,2017,16.6,16.6,
14,FL358553BF,2h,2018,19.2,19.2,
14,FL358553BF,2h,2019,20.3,20.3,
14,FL358553BF,2h,2020,43.3,6.8,*
14,FL358553BF,2h,2021,16.8,,Y
14,FL358553BF,2h,2022,10.5,10.5,
14,FL358553BF,3h,1984,2.1,2.1,
14,FL358553BF,3h,1985,1.3,1.3,
14,FL358553BF,3h,1986,3.0,3.0,
14,FL358553BF,3h,1987,3.7,3.7,
14,FL358553BF,3h,1988,3.7,3.7,
14,FL358553BF,3h,1989,1.3,1.3,
14,FL358553BF,3h,1990,6.2,6.2,
14,FL358553BF,3h,1991,1.3,1.3,
14,FL358553BF,3h,1992,7.5,7.5,
14,FL358553BF,3h,1993,13.4,5.6,*
14,FL358553BF,3h,1994,17.0,3.1,*
14,FL358553BF,3h,1995,12.5,2.5,*
14,FL358553BF,3h,1996,10.0,4.8,*
14,FL358553BF,3h,1997,13.7,7.1,*
14,FL358553BF,3h,1998,17.8,2.0,*
14,FL358553BF,3h,1999,26.5,2.5,*
14,FL358553BF,3h,2000,13.2,13.2,
14,FL358553BF,3h,2001,22.9,7.0,*
14,FL358553BF,3h,2002,8.7,4.9,*
14,FL358553BF,3h,2003,13.2,6.9,*
14,FL358553BF,3h,2004,5.5,3.5,*
14,FL358553BF,3h,2005,49.6,49.6,
14,FL358553BF,3h,2006,16.0,15.4,*
14,FL358553BF,3h,2007,38.3,,Y
14,FL358553BF,3h,2008,12.4,,Y
14,FL358553BF,3h,2009,10.6,10.6,
14,FL358553BF,3h,2010,45.1,20.4,*
14,FL358553BF,3h,2011,59.0,12.2,*
14,FL358553BF,3h,2012,32.4,32.4,
14,FL358553BF,3h,2013,33.8,33.8,
14,FL358553BF,3h,2014,25.5,,Y
14,FL358553BF,3h,2015,7.9,,Y
14,FL358553BF,3h,2016,33.2,,Y
14,FL358553BF,3h,2017,16.6,16.6,
14,FL358553BF,3h,2018,19.2,19.2,
14,FL358553BF,3h,2019,24.4,24.4,
14,FL358553BF,3h,2020,66.1,6.8,*
14,FL358553BF,3h,2021,22.5,,Y
14,FL358553BF,3h,2022,12.4,12.4,
14,FL358553BF,6h,1984,4.2,4.2,
14,FL358553BF,6h,1985,2.5,2.5,
14,FL358553BF,6h,1986,6.0,6.0,
14,FL358553BF,6h,1987,7.5,7.5,
14,FL358553BF,6h,1988,7.5,7.5,
14,FL358553BF,6h,1989,2.5,2.5,
14,FL358553BF,6h,1990,12.5,12.5,
14,FL358553BF,6h,1991,2.5,2.5,
14,FL358553BF,6h,1992,15.0,15.0,
14,FL358553BF,6h,1993,13.5,11.2,*
14,FL358553BF,6h,1994,17.4,6.2,*
14,FL358553BF,6h,1995,13.6,5.0,*
14,FL358553BF,6h,1996,10.2,9.5,*
14,FL358553BF,6h,1997,14.3,14.3,
14,FL358553BF,6h,1998,25.1,4.0,*
14,FL358553BF,6h,1999,26.6,5.0,*
14,FL358553BF,6h,2000,14.0,14.0,
14,FL358553BF,6h,2001,22.9,14.0,*
14,FL358553BF,6h,2002,9.8,9.8,
14,FL358553BF,6h,2003,13.8,13.8,
14,FL358553BF,6h,2004,7.0,7.0,
14,FL358553BF,6h,2005,68.8,68.8,
14,FL358553BF,6h,2006,18.0,18.0,
14,FL358553BF,6h,2007,48.5,,Y
14,FL358553BF,6h,2008,12.5,,Y
14,FL358553BF,6h,2009,10.6,10.6,
14,FL358553BF,6h,2010,45.3,34.8,*
14,FL358553BF,6h,2011,61.8,12.3,*
14,FL358553BF,6h,2012,32.4,32.4,
14,FL358553BF,6h,2013,35.5,35.5,
14,FL358553BF,6h,2014,28.1,,Y
14,FL358553BF,6h,2015,10.2,,Y
14,FL358553BF,6h,2016,33.4,,Y
14,FL358553BF,6h,2017,16.7,16.7,
14,FL358553BF,6h,2018,21.9,21.9,
14,FL358553BF,6h,2019,26.6,26.6,
14,FL358553BF,6h,2020,83.1,6.9,*
14,FL358553BF,6h,2021,25.6,,Y
14,FL358553BF,6h,2022,12.8,12.8,
14,FL358553BF,12h,1984,8.5,8.5,
14,FL358553BF,12h,1985,5.0,5.0,
14,FL358553BF,12h,1986,12.0,12.0,
14,FL358553BF,12h,1987,15.0,15.0,
14,FL358553BF,12h,1988,15.0,15.0,
14,FL358553BF,12h,1989,5.0,5.0,
14,FL358553BF,12h,1990,25.0,25.0,
14,FL358553BF,12h,1991,5.0,5.0,
14,FL358553BF,12h,1992,30.0,30.0,
14,FL358553BF,12h,1993,22.5,22.5,
14,FL358553BF,12h,1994,19.2,12.5,*
14,FL358553BF,12h,1995,16.5,10.0,*
14,FL358553BF,12h,1996,19.0,19.0,
14,FL358553BF,12h,1997,28.5,28.5,
14,FL358553BF,12h,1998,43.1,8.0,*
14,FL358553BF,12h,1999,26.7,10.0,*
14,FL358553BF,12h,2000,23.7,23.7,
14,FL358553BF,12h,2001,28.0,28.0,
14,FL358553BF,12h,2002,19.5,19.5,
14,FL358553BF,12h,2003,27.5,27.5,
14,FL358553BF,12h,2004,14.0,14.0,
14,FL358553BF,12h,2005,85.6,85.6,
14,FL358553BF,12h,2006,18.1,18.1,
14,FL358553BF,12h,2007,63.4,,Y
14,FL358553BF,12h,2008,12.6,0.7,*
14,FL358553BF,12h,2009,10.7,10.7,
14,FL358553BF,12h,2010,56.6,56.6,
14,FL358553BF,12h,2011,61.9,12.4,*
14,FL358553BF,12h,2012,32.5,32.5,
14,FL358553BF,12h,2013,35.8,35.8,
14,FL358553BF,12h,2014,39.0,,Y
14,FL358553BF,12h,2015,10.4,,Y
14,FL358553BF,12h,2016,33.4,,Y
14,FL358553BF,12h,2017,16.9,16.9,
14,FL358553BF,12h,2018,29.8,29.8,
14,FL358553BF,12h,2019,26.8,26.8,
14,FL358553BF,12h,2020,84.5,7.0,*
14,FL358553BF,12h,2021,29.3,,Y
14,FL358553BF,12h,2022,12.8,12.8,
14,FL358553BF,24h,1984,17.0,17.0,
14,FL358553BF,24h,1985,10.0,10.0,
14,FL358553BF,24h,1986,24.0,24.0,
14,FL358553BF,24h,1987,30.0,30.0,
14,FL358553BF,24h,1988,30.0,30.0,
14,FL358553BF,24h,1989,10.0,10.0,
14,FL358553BF,24h,1990,50.0,50.0,
14,FL358553BF,24h,1991,10.0,10.0,
14,FL358553BF,24h,1992,60.0,60.0,
14,FL358553BF,24h,1993,45.0,45.0,
14,FL358553BF,24h,1994,25.0,25.0,
14,FL358553BF,24h,1995,21.5,20.0,*
14,FL358553BF,24h,1996,38.0,38.0,
14,FL358553BF,24h,1997,57.0,57.0,
14,FL358553BF,24h,1998,58.4,16.0,*
14,FL358553BF,24h,1999,26.9,20.0,*
14,FL358553BF,24h,2000,32.9,32.9,
14,FL358553BF,24h,2001,56.0,56.0,
14,FL358553BF,24h,2002,39.0,39.0,
14,FL358553BF,24h,2003,55.0,55.0,
14,FL358553BF,24h,2004,28.0,28.0,
14,FL358553BF,24h,2005,98.5,98.5,
14,FL358553BF,24h,2006,22.9,18.3,*
14,FL358553BF,24h,2007,68.1,,Y
14,FL358553BF,24h,2008,14.7,1.4,*
14,FL358553BF,24h,2009,11.9,10.8,*
14,FL358553BF,24h,2010,75.7,75.7,
14,FL358553BF,24h,2011,62.0,12.6,*
14,FL358553BF,24h,2012,32.8,32.8,
14,FL358553BF,24h,2013,41.3,41.3,
14,FL358553BF,24h,2014,53.9,,Y
14,FL358553BF,24h,2015,15.9,,Y
14,FL358553BF,24h,2016,45.3,,Y
14,FL358553BF,24h,2017,17.3,17.3,
14,FL358553BF,24h,2018,29.9,29.9,
14,FL358553BF,24h,2019,35.1,35.1,
14,FL358553BF,24h,2020,84.7,13.2,*
14,FL358553BF,24h,2021,31.0,,Y
14,FL358553BF,24h,2022,12.8,12.8,
15,FL655789AF,5min,1994,4.3,4.0,*
15,FL655789AF,5min,1995,8.2,8.2,
15,FL655789AF,5min,1996,11.0,11.0,
15,FL655789AF,5min,1997,10.2,10.2,
15,FL655789AF,5min,1998,6.8,6.8,
15,FL655789AF,5min,1999,11.4,11.4,
15,FL655789AF,5min,2000,2.0,,Y
15,FL655789AF,5min,2001,6.5,,Y
15,FL655789AF,5min,2002,4.4,,Y
15,FL655789AF,5min,2003,3.4,,Y
15,FL655789AF,5min,2004,6.2,6.2,
15,FL655789AF,5min,2005,7.4,7.4,
15,FL655789AF,5min,2006,4.2,4.2,
15,FL655789AF,5min,2007,9.4,9.4,
15,FL655789AF,5min,2008,1.0,,Y
15,FL655789AF,5min,2009,6.8,6.8,
15,FL655789AF,5min,2010,6.0,6.0,
15,FL655789AF,10min,1994,7.3,7.2,*
15,FL655789AF,10min,1995,14.8,14.8,
15,FL655789AF,10min,1996,16.8,16.8,
15,FL655789AF,10min,1997,15.0,15.0,
15,FL655789AF,10min,1998,10.4,10.4,
15,FL655789AF,10min,1999,17.0,17.0,
15,FL655789AF,10min,2000,3.8,,Y
15,FL655789AF,10min,2001,11.4,,Y
15,FL655789AF,10min,2002,7.9,,Y
15,FL655789AF,10min,2003,5.5,,Y
15,FL655789AF,10min,2004,12.0,12.0,
15,FL655789AF,10min,2005,11.8,11.8,
15,FL655789AF,10min,2006,7.4,7.4,
15,FL655789AF,10min,2007,16.0,16.0,
15,FL655789AF,10min,2008,1.8,0.6,*
15,FL655789AF,10min,2009,13.2,13.2,
15,FL655789AF,10min,2010,9.0,9.0,
15,FL655789AF,15min,1994,10.6,10.4,*
15,FL655789AF,15min,1995,18.2,18.2,
15,FL655789AF,15min,1996,22.6,22.6,
15,FL655789AF,15min,1997,20.6,20.6,
15,FL655789AF,15min,1998,13.4,13.4,
15,FL655789AF,15min,1999,18.6,18.6,
15,FL655789AF,15min,2000,5.5,,Y
15,FL655789AF,15min,2001,14.6,,Y
15,FL655789AF,15min,2002,10.4,,Y
15,FL655789AF,15min,2003,7.6,,Y
15,FL655789AF,15min,2004,15.4,15.4,
15,FL655789AF,15min,2005,12.2,12.2,
15,FL655789AF,15min,2006,8.8,8.8,
15,FL655789AF,15min,2007,23.2,23.2,
15,FL655789AF,15min,2008,2.4,0.8,*
15,FL655789AF,15min,2009,14.2,14.2,
15,FL655789AF,15min,2010,10.4,10.4,
15,FL655789AF,30min,1994,19.0,19.0,
15,FL655789AF,30min,1995,23.4,23.4,
15,FL655789AF,30min,1996,35.2,35.2,
15,FL655789AF,30min,1997,34.6,34.6,
15,FL655789AF,30min,1998,19.4,19.4,
15,FL655789AF,30min,1999,20.4,20.4,
15,FL655789AF,30min,2000,8.8,,Y
15,FL655789AF,30min,2001,21.4,,Y
15,FL655789AF,30min,2002,14.6,,Y
15,FL655789AF,30min,2003,10.9,,Y
15,FL655789AF,30min,2004,22.2,22.2,
15,FL655789AF,30min,2005,15.6,15.6,
15,FL655789AF,30min,2006,9.8,9.6,*
15,FL655789AF,30min,2007,41.4,41.4,
15,FL655789AF,30min,2008,3.5,1.6,*
15,FL655789AF,30min,2009,14.7,14.7,
15,FL655789AF,30min,2010,19.2,19.2,
15,FL655789AF,1h,1994,27.2,27.2,
15,FL655789AF,1h,1995,30.8,30.8,
15,FL655789AF,1h,1996,49.6,49.6,
15,FL655789AF,1h,1997,42.4,42.4,
15,FL655789AF,1h,1998,22.5,22.5,
15,FL655789AF,1h,1999,21.2,21.2,
15,FL655789AF,1h,2000,13.7,,Y
15,FL655789AF,1h,2001,26.8,,Y
15,FL655789AF,1h,2002,18.8,,Y
15,FL655789AF,1h,2003,20.7,,Y
15,FL655789AF,1h,2004,29.4,29.4,
15,FL655789AF,1h,2005,22.1,22.1,
15,FL655789AF,1h,2006,14.5,9.6,*
15,FL655789AF,1h,2007,74.0,74.0,
15,FL655789AF,1h,2008,3.5,1.8,*
15,FL655789AF,1h,2009,19.0,19.0,
15,FL655789AF,1h,2010,35.6,35.6,
15,FL655789AF,2h,1994,27.8,27.8,
15,FL655789AF,2h,1995,31.6,31.6,
15,FL655789AF,2h,1996,59.8,59.8,
15,FL655789AF,2h,1997,42.6,42.6,
15,FL655789AF,2h,1998,25.0,25.0,
15,FL655789AF,2h,1999,22.0,22.0,
15,FL655789AF,2h,2000,14.7,,Y
15,FL655789AF,2h,2001,31.9,,Y
15,FL655789AF,2h,2002,20.4,,Y
15,FL655789AF,2h,2003,22.8,,Y
15,FL655789AF,2h,2004,43.3,43.3,
15,FL655789AF,2h,2005,22.9,22.9,
15,FL655789AF,2h,2006,19.6,9.8,*
15,FL655789AF,2h,2007,137.6,137.6,
15,FL655789AF,2h,2008,3.5,1.8,*
15,FL655789AF,2h,2009,20.2,20.2,
15,FL655789AF,2h,2010,58.4,58.4,
15,FL655789AF,3h,1994,28.0,28.0,
15,FL655789AF,3h,1995,31.6,31.6,
15,FL655789AF,3h,1996,63.4,63.4,
15,FL655789AF,3h,1997,45.0,45.0,
15,FL655789AF,3h,1998,27.6,27.6,
15,FL655789AF,3h,1999,30.0,30.0,
15,FL655789AF,3h,2000,14.9,,Y
15,FL655789AF,3h,2001,41.0,,Y
15,FL655789AF,3h,2002,20.4,,Y
15,FL655789AF,3h,2003,22.8,,Y
15,FL655789AF,3h,2004,46.9,46.9,
15,FL655789AF,3h,2005,27.2,27.2,
15,FL655789AF,3h,2006,21.7,10.0,*
15,FL655789AF,3h,2007,192.0,192.0,
15,FL655789AF,3h,2008,3.6,1.8,*
15,FL655789AF,3h,2009,20.4,20.4,
15,FL655789AF,3h,2010,78.2,78.2,
15,FL655789AF,6h,1994,28.7,28.7,
15,FL655789AF,6h,1995,42.4,42.4,
15,FL655789AF,6h,1996,82.8,82.8,
15,FL655789AF,6h,1997,74.6,74.6,
15,FL655789AF,6h,1998,48.4,48.4,
15,FL655789AF,6h,1999,31.5,31.5,
15,FL655789AF,6h,2000,14.9,,Y
15,FL655789AF,6h,2001,44.1,,Y
15,FL655789AF,6h,2002,20.5,,Y
15,FL655789AF,6h,2003,22.8,,Y
15,FL655789AF,6h,2004,55.3,55.3,
15,FL655789AF,6h,2005,31.2,31.2,
15,FL655789AF,6h,2006,25.5,10.2,*
15,FL655789AF,6h,2007,376.0,376.0,
15,FL655789AF,6h,2008,3.6,1.8,*
15,FL655789AF,6h,2009,20.4,20.4,
15,FL655789AF,6h,2010,102.0,102.0,
15,FL655789AF,12h,1994,30.0,30.0,
15,FL655789AF,12h,1995,50.7,50.7,
15,FL655789AF,12h,1996,115.8,115.8,
15,FL655789AF,12h,1997,82.9,82.9,
15,FL655789AF,12h,1998,59.0,59.0,
15,FL655789AF,12h,1999,38.8,38.8,
15,FL655789AF,12h,2000,15.0,,Y
15,FL655789AF,12h,2001,44.3,,Y
15,FL655789AF,12h,2002,20.6,,Y
15,FL655789AF,12h,2003,23.0,,Y
15,FL655789AF,12h,2004,59.1,59.1,
15,FL655789AF,12h,2005,33.7,33.7,
15,FL655789AF,12h,2006,26.8,10.4,*
15,FL655789AF,12h,2007,573.0,573.0,
15,FL655789AF,12h,2008,3.6,1.9,*
15,FL655789AF,12h,2009,21.4,21.4,
15,FL655789AF,12h,2010,117.5,117.5,
15,FL655789AF,24h,1994,32.6,32.6,
15,FL655789AF,24h,1995,90.1,90.1,
15,FL655789AF,24h,1996,141.9,141.9,
