No,Site_ID,Name,Elev_m,Start,End,N_years,Missing_yrs,Max24h_mm
78,EL921218AF,Qaran Qatar at Qaran Qatar,359,2000,2020,17,4,59.0
79,FL021328AF,Khadra Bani Daffa at Municipality,491,2017,2020,4,0,19.0
80,FL129620AF,Sharia near Sharia,550,1993,2020,26,2,88.0
81,FL326441AF,AL FIGH AT AL FIGH,610,1993,2022,29,1,116.0
82,FL426603AF,HAIMAH NEAR IBRA,540,1993,2022,29,1,109.0
83,FL527473AF,AL MAR NEAR AL MAR,520,1993,2022,29,1,135.0
84,FL828069AF,DABAHA AT DABAHA,640,1993,2014,22,0,89.0
85,FL921766AF,Souqah near Souqah,917,1997,2020,23,1,290.0
86,GL012967AF,AR ROKI NEAR AR ROKI,1000,1993,2017,25,0,113.0
87,GL027366AF,JABAL BANI JABIR,1611,1988,2020,33,0,268.0
88,GL323196AF,Tiwi near Tiwi Municipality,60,1994,2020,26,1,223.0
89,FL516435CF,IBRA 2 AT IBRA,425,1977,2020,43,1,90.0
90,FL619781AF,AL MUNJRID NEAR AL MUNJRID,450,1993,2019,25,2,96.0
91,FL719228AF,RAHABAT AT RAHABAT,440,1993,2021,27,2,108.0
92,FL818062AF,JA'IAH NEAR JA'IAH,470,1993,2022,29,1,90.0
93,GL010544AF,Al Amqain 2 near Amqain,660,1993,2020,28,0,108.0
94,FL303269AF,GHURAYB NEAR GHURAYB,540,1993,2022,27,3,86.0
95,FL500866AF,JABAL MUKTHARAN,480,1993,2022,30,0,68.0
96,FK594935AF,GAHAM AT GAHAM,370,1993,2020,26,2,105.0
97,FL806086AF,AZ ZHAHIR AT AZ ZHAHIR,380,1993,2021,27,2,70.0
98,GL002561AF,AL MINZIF NEAR AL MINZIF,460,1993,2022,30,0,74.0
99,GL103069AF,WADI BANI KHALID NEAR DAWWAH,640,1993,2020,28,0,193.0
100,GL208403AF,JABAL HILM,1870,1994,2010,17,0,429.0
101,FK195750AF,Al Mudhaibi at Mudhaibi Municipality,390,1993,2019,25,2,158.0
102,FK495339AF,MASROON NEAR MASROON,440,1993,2022,25,5,102.0
103,FK791737AF,AD DARIZ NEAR AD DARIZ,340,1993,2022,26,4,94.0
104,GK193754AF,Hishm near Halfa,800,1993,2020,26,2,201.0
105,FK688216AF,Jabal Hammah at Hammah,410,1993,2020,22,6,106.0
106,FK886394AF,Al Ghabi at Al Ghabi,280,1974,2006,32,1,90.0
