index_mean_24h_mm,57.63
return_period,depth_mm
2,23.9
5,57.9
10,99.8
25,194.0
50,314.9
100,507.1
200,813.1
500,1512.2
1000,2414.5
2000,3852.3
5000,7139.3
10000,11382.4
