No,ID,Name,Dist_km,Target,Yrs_before,Yrs_after,Yrs_added,Max24h_before,Max24h_after,Min24h_before
67,FL844896AF,Al Hara at Jabal Abyadh,13.7,Y,1,1,0,45.8,45.8,45.8
68,FL942459AF,JABAL ASFAR,20.9,Y,19,26,7,878.6,878.6,1.4
69,GL142813AF,Dhabab at HWY near Dhabab,30.9,Y,5,5,0,113.6,113.6,51.6
70,EL835403AF,WADI SHIBAK AT WADI SHIBAK,72.1,-,12,23,11,78.2,78.2,2.4
71,EL935280AF,Qiryatain at Qiryatain Healt,64.0,-,4,4,0,61.3,61.3,7.6
72,FL331254AF,TOWER NEAR RAWDAH,39.2,Y,16,16,0,90.0,90.0,6.8
73,FL434668AF,LOWER KHAFIFAH NEAR KHAFIFAH,30.7,Y,29,29,0,553.3,553.3,0.8
74,FL730339AF,Jabal Kheyaam2 at Jabal Khey,26.7,Y,25,28,3,139.6,139.6,1.6
75,FL737261AF,SHANNAH NEAR SHANNAH,28.9,Y,13,17,4,105.5,105.5,2.2
76,FL933320AF,SAMAIA NEAR SAMAIA,31.4,Y,25,28,3,86.5,120.6,1.0
77,GL235811AF,FINS NEAR FINS,47.2,-,26,26,0,140.4,140.4,3.2
78,EL921218AF,Qaran Qatar at Qaran Qatar,73.1,-,13,17,4,58.6,58.6,8.7
79,FL021328AF,Khadra Bani Daffa at Municip,64.7,-,3,4,1,18.4,19.5,7.5
80,FL129620AF,Sharia near Sharia,51.1,-,25,26,1,87.8,87.8,7.0
81,FL326441AF,AL FIGH AT AL FIGH,45.2,-,27,29,2,115.9,115.9,0.5
82,FL426603AF,HAIMAH NEAR IBRA,40.1,-,29,29,0,109.0,109.0,6.4
83,FL527473AF,AL MAR NEAR AL MAR,37.5,Y,26,29,3,135.5,135.5,3.0
84,FL828069AF,DABAHA AT DABAHA,41.3,-,20,22,2,88.8,88.8,2.2
85,FL921766AF,Souqah near Souqah,35.6,Y,22,23,1,290.4,290.4,6.0
86,GL012967AF,AR ROKI NEAR AR ROKI,47.5,-,16,25,9,78.5,113.0,0.8
87,GL027366AF,JABAL BANI JABIR,47.0,-,27,33,6,268.2,268.2,12.6
88,GL323196AF,Tiwi near Tiwi Municipality,65.2,-,26,26,0,222.6,222.6,0.8
89,FL516435CF,IBRA 2 AT IBRA,47.3,-,42,43,1,90.1,90.1,1.8
90,FL619781AF,AL MUNJRID NEAR AL MUNJRID,43.4,-,25,25,0,96.0,96.0,5.2
91,FL719228AF,RAHABAT AT RAHABAT,48.1,-,24,27,3,108.1,108.1,6.6
92,FL818062AF,JA'IAH NEAR JA'IAH,51.7,-,25,30,5,211.0,211.0,4.8
93,GL010544AF,Al Amqain 2 near Amqain,50.3,-,22,28,6,108.1,108.1,2.8
94,FL303269AF,GHURAYB NEAR GHURAYB,66.3,-,24,27,3,85.8,85.8,1.0
95,FL500866AF,JABAL MUKTHARAN,54.4,-,28,30,2,60.2,68.3,0.6
96,FK594935AF,GAHAM AT GAHAM,62.4,-,23,26,3,105.3,105.3,4.2
97,FL806086AF,AZ ZHAHIR AT AZ ZHAHIR,60.9,-,24,27,3,69.6,69.6,2.4
98,GL002561AF,AL MINZIF NEAR AL MINZIF,60.7,-,23,30,7,62.6,74.4,1.2
99,GL103069AF,WADI BANI KHALID NEAR DAWWAH,69.3,-,28,28,0,193.5,193.5,3.0
100,GL208403AF,JABAL HILM,74.9,-,12,17,5,429.2,429.2,13.5
101,FK195750AF,Al Mudhaibi at Mudhaibi Muni,78.0,-,25,25,0,157.8,157.8,1.8
102,FK495339AF,MASROON NEAR MASROON,70.2,-,22,25,3,102.4,102.4,3.0
103,FK791737AF,AD DARIZ NEAR AD DARIZ,62.9,-,20,26,6,94.4,94.4,2.8
104,GK193754AF,Hishm near Halfa,72.2,-,25,26,1,200.9,200.9,1.2
105,FK688216AF,Jabal Hammah at Hammah,77.8,-,20,22,2,105.9,105.9,2.4
106,FK886394AF,Al Ghabi at Al Ghabi,77.2,-,32,32,0,90.0,90.0,2.0
