return_period,Majlas Dam Reservoir Inflow Vol (Mm3),Majlas Dam Reservoir Outflow Vol (Mm3)
2yr,2.817521,0
5yr,11.096122,0
10yr,24.946903,0
25yr,42.788842,0
50yr,55.443813,0
100yr,71.103066,0
200yr,90.452237,0
500yr,123.068923,28.829937
1000yr,154.369497,60.125435
2000yr,192.856767,98.600276
5000yr,258.039124,163.776577
10000yr,278.001023,183.74551
PMP,549.349925,455.015253
