return_period,Majlas Dam Reservoir Inflow Max (m3/s),Majlas Dam Reservoir Outflow Max (m3/s)
2yr,91.9315,0
5yr,459.5342,0
10yr,1160.8342,0
25yr,1859.4607,0
50yr,2561.0516,0
100yr,3452.4452,0
200yr,4566.2085,0
500yr,6459.3907,877.2899
1000yr,8288.58,2227.8949
2000yr,9606.7042,4029.347
5000yr,13094.7585,7608.2585
10000yr,14166.3007,8749.339
PMP,18725.982,17224.4659
