Sno,Site_ID,Station_Na,Easting,Northing,Elev,dist_km,target
89,FL516435CF,IBRA 2 AT IBRA,656300,2514500,425.0,47.3,False
90,FL619781AF,AL MUNJRID NEAR AL MUNJRID,669800,2517100,450.0,43.4,False
91,FL719228AF,RAHABAT AT RAHABAT,679200,2512900,440.0,48.1,False
92,FL818062AF,JA'IAH NEAR JA'IAH,688600,2510200,470.0,51.7,False
93,GL010544AF,Al Amqain 2 near Amqain,700400,2515500,660.0,50.3,False
94,FL303269AF,GHURAYB NEAR GHURAYB,633600,2502900,540.0,66.3,False
95,FL500866AF,JABAL MUKTHARAN,650600,2508700,480.0,54.4,False
96,FK594935AF,GAHAM AT GAHAM,654300,2499500,370.0,62.4,False
97,FL806086AF,AZ ZHAHIR AT AZ ZHAHIR,686800,2500600,380.0,60.9,False
98,GL002561AF,AL MINZIF NEAR AL MINZIF,702600,2505100,460.0,60.7,False
99,GL103069AF,WADI BANI KHALID NEAR DAWWAH,713600,2500900,640.0,69.3,False
100,GL208403AF,JABAL HILM,728000,2504300,1870.0,74.9,False
101,FK195750AF,Al Mudhaibi at Mudhaibi Municipality,615500,2497100,390.0,78.0,False
102,FK495339AF,MASROON NEAR MASROON,645300,2493900,440.0,70.2,False
103,FK791737AF,AD DARIZ NEAR AD DARIZ,671300,2497700,340.0,62.9,False
104,GK193754AF,Hishm near Halfa,713500,2497500,800.0,72.2,False
105,FK688216AF,Jabal Hammah at Hammah,668100,2482700,410.0,77.8,False
106,FK886394AF,Al Ghabi at Al Ghabi,686343,2484168,280.0,77.2,False
