pooled_stations,n_pooled,Lcv_reg,Lskew_reg,k_gev,xi,alpha
FL655789AF;FL672275AF;FL771702AF;FL788017AF;FL974085AF,95,0.6462,0.6458,-0.6272,0.3109,0.3121

return_period,2,5,10,25,50,100,200,500,1000,2000,5000,10000
growth_factor,0.4395,1.0881,1.8543,3.5125,5.5639,8.7239,13.5983,24.3272,37.6892,58.3252,103.7774,160.4003
