Gauge,N,Mean_mm,L_CV,L_Skew,L_Kurt,Di,Discordant(>3)
Jabal Abyadh East,13,111.1,0.639,0.602,0.516,1.2,no
Buei near Buei,18,56.2,0.673,0.687,0.569,1.31,no
Taba at Taba,18,64.9,0.681,0.728,0.652,0.28,no
Hayfadh at Hayfadh,17,65.2,0.724,0.814,0.752,0.9,no
Qurayat at Qurayat,15,51.5,0.59,0.62,0.467,1.31,no
